8721.9,-12563.4,8724.0,-12566.3,8726.08,-12569.2,8728.27,-12572.2
8726.43,-12560.1,8728.52,-12563.0,8730.58,-12565.9,8732.77,-12569.0
8730.96,-12556.9,8733.03,-12559.8,8735.09,-12562.7,8737.27,-12565.7
8735.49,-12553.7,8737.56,-12556.6,8739.6,-12559.5,8741.78,-12562.5
8738.6,-12551.2,8740.72,-12554.1,8742.85,-12557.1,8745.1,-12560.2
8743.13,-12548.0,8745.24,-12550.9,8747.36,-12553.8,8749.6,-12556.9
8747.66,-12544.8,8749.76,-12547.7,8751.86,-12550.6,8754.1,-12553.7
8752.2,-12541.6,8754.29,-12544.5,8756.37,-12547.3,8758.6,-12550.4
8755.8,-12538.8,8757.93,-12541.7,8760.05,-12544.6,8762.29,-12547.7
8760.34,-12535.6,8762.45,-12538.5,8764.55,-12541.4,8766.78,-12544.5
8764.87,-12532.4,8766.98,-12535.3,8769.05,-12538.1,8771.27,-12541.2
8769.41,-12529.2,8771.5,-12532.1,8773.56,-12534.9,8775.76,-12538.0
8772.79,-12526.4,8774.93,-12529.4,8777.06,-12532.4,8779.31,-12535.5
8777.31,-12523.2,8779.44,-12526.2,8781.56,-12529.1,8783.83,-12532.3
8781.85,-12520.0,8783.96,-12523.0,8786.07,-12525.9,8788.34,-12529.1
8786.38,-12516.8,8788.49,-12519.7,8790.58,-12522.7,8792.85,-12525.8
8790.08,-12513.9,8792.23,-12516.9,8794.36,-12519.9,8796.61,-12523.0
8794.61,-12510.7,8796.74,-12513.7,8798.86,-12516.6,8801.1,-12519.8
8799.14,-12507.5,8801.27,-12510.5,8803.36,-12513.4,8805.59,-12516.5
8803.68,-12504.3,8805.79,-12507.2,8807.86,-12510.1,8810.08,-12513.2
8807.43,-12501.3,8809.6,-12504.3,8811.76,-12507.3,8814.06,-12510.4
8811.96,-12498.1,8814.11,-12501.1,8816.26,-12504.0,8818.56,-12507.2
8816.48,-12494.9,8818.63,-12497.8,8820.76,-12500.8,8823.07,-12504.0
